,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1,Michael Jordan,1987-88,24,CHI,NBA,21.2,82,82,3311,1069,1998,1062,1945,7,53,723,860,139,310,449,485,259,131,252,270,2868,0.535,0.546,0.132,0.537,0.841,0.603
2,Michael Jordan,1995-96,32,CHI,NBA,20.4,82,82,3090,916,1850,805,1590,111,260,548,657,148,395,543,352,180,42,197,195,2491,0.495,0.506,0.427,0.525,0.834,0.582
3,LeBron James,2008-09,24,CLE,NBA,20.3,81,81,3054,789,1613,657,1229,132,384,594,762,106,507,613,587,137,93,241,139,2304,0.489,0.535,0.344,0.53,0.78,0.591
4,Michael Jordan,1990-91,27,CHI,NBA,20.3,82,82,3034,990,1837,961,1744,29,93,571,671,118,374,492,453,223,83,202,229,2580,0.539,0.551,0.312,0.547,0.851,0.605
5,David Robinson,1993-94,28,SAS,NBA,20,80,80,3241,840,1658,830,1629,10,29,693,925,241,614,855,381,139,265,253,228,2383,0.507,0.51,0.345,0.51,0.749,0.577
6,Michael Jordan,1988-89,25,CHI,NBA,19.8,81,81,3255,966,1795,939,1697,27,98,674,793,149,503,652,650,234,65,290,247,2633,0.538,0.553,0.276,0.546,0.85,0.614
7,LeBron James,2012-13,28,MIA,NBA,19.3,76,76,2877,765,1354,662,1100,103,254,403,535,97,513,610,551,129,67,226,110,2036,0.565,0.602,0.406,0.603,0.753,0.64
8,Kevin Durant,2013-14,25,OKC,NBA,19.2,81,81,3122,849,1688,657,1197,192,491,703,805,58,540,598,445,103,59,285,174,2593,0.503,0.549,0.391,0.56,0.873,0.635
9,Michael Jordan,1989-90,26,CHI,NBA,19,82,82,3197,1034,1964,942,1719,92,245,593,699,143,422,565,519,227,54,247,241,2753,0.526,0.548,0.376,0.55,0.848,0.606
10,Kevin Durant,2012-13,24,OKC,NBA,18.9,81,81,3119,731,1433,592,1099,139,334,679,750,46,594,640,374,116,105,280,143,2280,0.51,0.539,0.416,0.559,0.905,0.647
11,Shaquille O'Neal,1999-00,27,LAL,NBA,18.6,79,79,3163,956,1665,956,1664,0,1,432,824,336,742,1078,299,36,239,223,255,2344,0.574,0.575,0,0.574,0.524,0.578
12,LeBron James,2009-10,25,CLE,NBA,18.5,76,76,2966,768,1528,639,1141,129,387,593,773,71,483,554,651,125,77,261,119,2258,0.503,0.56,0.333,0.545,0.767,0.604
13,Kevin Garnett,2003-04,27,MIN,NBA,18.3,82,82,3231,804,1611,793,1568,11,43,368,465,245,894,1139,409,120,178,212,202,1987,0.499,0.506,0.256,0.502,0.791,0.547
14,Michael Jordan,1996-97,33,CHI,NBA,18.3,82,82,3106,920,1892,809,1595,111,297,480,576,113,369,482,352,140,44,166,156,2431,0.486,0.507,0.374,0.516,0.833,0.567
15,Chris Paul,2008-09,23,NOH,NBA,18.3,78,78,3002,631,1255,567,1079,64,176,455,524,69,363,432,861,216,10,231,212,1781,0.503,0.525,0.364,0.528,0.868,0.599
16,David Robinson,1995-96,30,SAS,NBA,18.3,82,82,3019,711,1378,708,1369,3,9,626,823,319,681,1000,247,111,271,190,262,2051,0.516,0.517,0.333,0.517,0.761,0.589
17,Stephen Curry,2015-16,27,GSW,NBA,17.9,79,79,2700,805,1598,403,712,402,886,363,400,68,362,430,527,169,15,262,161,2375,0.504,0.566,0.454,0.63,0.908,0.669
18,Tim Duncan,2001-02,25,SAS,NBA,17.8,82,82,3329,764,1504,763,1494,1,10,560,701,268,774,1042,307,61,203,263,217,2089,0.508,0.511,0.1,0.508,0.799,0.576
19,Chris Paul,2007-08,22,NOH,NBA,17.8,80,80,3006,630,1291,538,1042,92,249,332,390,62,259,321,925,217,4,201,185,1684,0.488,0.516,0.369,0.524,0.851,0.576
